 
 =================================================
      AMS 260 - CFD, 1D Euler FVM Code            
       Written by Prof. Dongwook Lee              
            Winter Quarter, 2015                  
 =================================================
 
 
        Initial condition was written!            
 =================================================
    Steps      Time              dt               
   206      1.22259904       0.00578941
   207      1.22840147       0.00580243
   208      1.23418689       0.00578542
   209      1.24000161       0.00581472
   210      1.24578932       0.00578771
   211      1.25160485       0.00581554
   212      1.25740822       0.00580337
   213      1.26323430       0.00582608
   214      1.26905565       0.00582134
   215      1.27489281       0.00583717
   216      1.28073370       0.00584088
   217      1.28658094       0.00584724
   218      1.29244869       0.00586775
   219      1.29830812       0.00585943
   220      1.30419536       0.00588723
   221      1.31007310       0.00587775
   222      1.31596507       0.00589197
   223      1.32186849       0.00590342
   224      1.32775489       0.00588639
   225      1.33364486       0.00588997
   226      1.33952878       0.00588392
   227      1.34540823       0.00587946
   228      1.35129052       0.00588229
   229      1.35716194       0.00587142
   230      1.36304369       0.00588174
   231      1.36890830       0.00586461
   232      1.37478794       0.00587964
   233      1.38064993       0.00586199
   234      1.38652462       0.00587469
   235      1.39239273       0.00586811
   236      1.39826975       0.00587702
   237      1.40415147       0.00588172
   238      1.41003745       0.00588599
   239      1.41593549       0.00589803
   240      1.42183167       0.00589618
   241      1.42773003       0.00589836
   242      1.43361565       0.00588562
   243      1.43948798       0.00587233
   244      1.44536152       0.00587353
   245      1.45123713       0.00587561
   246      1.45711280       0.00587568
   247      1.46297142       0.00585862
   248      1.46883470       0.00586327
   249      1.47465950       0.00582480
   250      1.48051539       0.00585589
   251      1.48638063       0.00586524
   252      1.49224989       0.00586927
   253      1.49809872       0.00584883
   254      1.50396706       0.00586834
   255      1.50980787       0.00584081
   256      1.51566878       0.00586091
   257      1.52149695       0.00582817
   258      1.52733858       0.00584162
   259      1.53315705       0.00581847
   260      1.53898071       0.00582366
   261      1.54479660       0.00581589
   262      1.55060876       0.00581216
   263      1.55642741       0.00581866
   264      1.56223159       0.00580417
   265      1.56805599       0.00582440
   266      1.57386353       0.00580754
   267      1.57968834       0.00582482
   268      1.58550195       0.00581361
   269      1.59132877       0.00582682
   270      1.59714460       0.00581584
   271      1.60296936       0.00582476
   272      1.60880143       0.00583207
   273      1.61463455       0.00583312
   274      1.62048519       0.00585063
   275      1.62633194       0.00584675
   276      1.63219396       0.00586202
   277      1.63805554       0.00586158
   278      1.64393182       0.00587629
   279      1.64981882       0.00588700
   280      1.65569053       0.00587171
   281      1.66156731       0.00587678
   282      1.66743326       0.00586595
   283      1.67329148       0.00585822
   284      1.67915284       0.00586136
   285      1.68499541       0.00584257
   286      1.69084860       0.00585319
   287      1.69667411       0.00582551
   288      1.70252320       0.00584909
   289      1.70833660       0.00581340
   290      1.71416950       0.00583291
   291      1.71997911       0.00580961
   292      1.72580017       0.00582105
   293      1.73161071       0.00581054
   294      1.73742324       0.00581253
   295      1.74323893       0.00581569
   296      1.74904449       0.00580556
   297      1.75486962       0.00582513
   298      1.76067314       0.00580352
   299      1.76650284       0.00582970
   300      1.77231012       0.00580727
   301      1.77814083       0.00583071
   302      1.78395668       0.00581585
   303      1.78979253       0.00583584
   304      1.79563072       0.00583819
   305      1.80000000       0.00436928
 
  Final output no.           1 has been written
 =================================================
         The final tmax has reached, bye!         
 =================================================
 
