 
 =================================================
      AMS 260 - CFD, 1D Euler FVM Code            
       Written by Prof. Dongwook Lee              
            Winter Quarter, 2015                  
 =================================================
 
 
        Initial condition was written!            
 =================================================
    Steps      Time              dt               
   206      0.34132041       0.00165694
   207      0.34297729       0.00165688
   208      0.34463415       0.00165686
   209      0.34629109       0.00165694
   210      0.34794798       0.00165688
   211      0.34960483       0.00165686
   212      0.35126177       0.00165694
   213      0.35291866       0.00165688
   214      0.35457551       0.00165686
   215      0.35623245       0.00165694
   216      0.35788934       0.00165689
   217      0.35954619       0.00165686
   218      0.36120313       0.00165693
   219      0.36286002       0.00165689
   220      0.36451687       0.00165686
   221      0.36617380       0.00165693
   222      0.36783069       0.00165689
   223      0.36948755       0.00165686
   224      0.37114448       0.00165693
   225      0.37280137       0.00165689
   226      0.37445822       0.00165686
   227      0.37611515       0.00165693
   228      0.37777204       0.00165689
   229      0.37942890       0.00165686
   230      0.38108582       0.00165693
   231      0.38274272       0.00165689
   232      0.38439957       0.00165686
   233      0.38605650       0.00165692
   234      0.38771339       0.00165689
   235      0.38937025       0.00165686
   236      0.39102717       0.00165692
   237      0.39268406       0.00165690
   238      0.39434092       0.00165686
   239      0.39599784       0.00165692
   240      0.39765473       0.00165690
   241      0.39931159       0.00165685
   242      0.40096851       0.00165692
   243      0.40262541       0.00165690
   244      0.40428226       0.00165685
   245      0.40593918       0.00165692
   246      0.40759608       0.00165690
   247      0.40925293       0.00165685
   248      0.41090984       0.00165691
   249      0.41256675       0.00165690
   250      0.41422360       0.00165685
   251      0.41588051       0.00165691
   252      0.41753742       0.00165690
   253      0.41919427       0.00165685
   254      0.42085118       0.00165691
   255      0.42250809       0.00165691
   256      0.42416494       0.00165685
   257      0.42582185       0.00165691
   258      0.42747876       0.00165691
   259      0.42913561       0.00165685
   260      0.43079252       0.00165691
   261      0.43244943       0.00165691
   262      0.43410628       0.00165685
   263      0.43576319       0.00165690
   264      0.43742010       0.00165691
   265      0.43907695       0.00165685
   266      0.44073386       0.00165690
   267      0.44239077       0.00165691
   268      0.44404762       0.00165685
   269      0.44570452       0.00165690
   270      0.44736144       0.00165692
   271      0.44901830       0.00165685
   272      0.45067519       0.00165690
   273      0.45233211       0.00165692
   274      0.45398897       0.00165685
   275      0.45564586       0.00165690
   276      0.45730278       0.00165692
   277      0.45895964       0.00165686
   278      0.46061653       0.00165690
   279      0.46227346       0.00165692
   280      0.46393031       0.00165686
   281      0.46558721       0.00165689
   282      0.46724413       0.00165692
   283      0.46890099       0.00165686
   284      0.47055788       0.00165689
   285      0.47221480       0.00165693
   286      0.47387166       0.00165686
   287      0.47552855       0.00165689
   288      0.47718548       0.00165693
   289      0.47884234       0.00165686
   290      0.48049922       0.00165689
   291      0.48215616       0.00165693
   292      0.48381301       0.00165686
   293      0.48546990       0.00165689
   294      0.48712683       0.00165693
   295      0.48878369       0.00165686
   296      0.49044058       0.00165689
   297      0.49209751       0.00165694
   298      0.49375437       0.00165686
   299      0.49541125       0.00165688
   300      0.49706819       0.00165694
   301      0.49872505       0.00165686
   302      0.50038193       0.00165688
   303      0.50203887       0.00165694
   304      0.50369573       0.00165686
   305      0.50535261       0.00165688
   306      0.50700956       0.00165694
   307      0.50866641       0.00165686
   308      0.51032330       0.00165688
   309      0.51198024       0.00165695
   310      0.51363710       0.00165686
   311      0.51529398       0.00165688
   312      0.51695093       0.00165695
   313      0.51860779       0.00165686
   314      0.52026466       0.00165688
   315      0.52192161       0.00165695
   316      0.52357848       0.00165686
   317      0.52523535       0.00165688
   318      0.52689230       0.00165695
   319      0.52854917       0.00165686
   320      0.53020604       0.00165688
   321      0.53186300       0.00165696
   322      0.53351986       0.00165686
   323      0.53517673       0.00165687
   324      0.53683369       0.00165696
   325      0.53849055       0.00165686
   326      0.54014743       0.00165687
   327      0.54180439       0.00165696
   328      0.54346125       0.00165686
   329      0.54511812       0.00165687
   330      0.54677509       0.00165696
   331      0.54843195       0.00165686
   332      0.55008882       0.00165687
   333      0.55174579       0.00165697
   334      0.55340265       0.00165687
   335      0.55505952       0.00165687
   336      0.55671649       0.00165697
   337      0.55837336       0.00165687
   338      0.56003023       0.00165687
   339      0.56168720       0.00165697
   340      0.56334407       0.00165687
   341      0.56500093       0.00165687
   342      0.56665791       0.00165697
   343      0.56831478       0.00165687
   344      0.56997164       0.00165687
   345      0.57162861       0.00165697
   346      0.57328548       0.00165687
   347      0.57494235       0.00165687
   348      0.57659932       0.00165697
   349      0.57825619       0.00165687
   350      0.57991305       0.00165687
   351      0.58157002       0.00165697
   352      0.58322689       0.00165687
   353      0.58488375       0.00165686
   354      0.58654072       0.00165696
   355      0.58819759       0.00165687
   356      0.58985445       0.00165686
   357      0.59151141       0.00165696
   358      0.59316829       0.00165687
   359      0.59482515       0.00165686
   360      0.59648211       0.00165696
   361      0.59813898       0.00165687
   362      0.59979584       0.00165686
   363      0.60145280       0.00165696
   364      0.60310968       0.00165688
   365      0.60476654       0.00165686
   366      0.60642349       0.00165695
   367      0.60808037       0.00165688
   368      0.60973723       0.00165686
   369      0.61139418       0.00165695
   370      0.61305106       0.00165688
   371      0.61470792       0.00165686
   372      0.61636486       0.00165695
   373      0.61802174       0.00165688
   374      0.61967860       0.00165686
   375      0.62133555       0.00165695
   376      0.62299243       0.00165688
   377      0.62464929       0.00165686
   378      0.62630623       0.00165694
   379      0.62796311       0.00165688
   380      0.62961997       0.00165686
   381      0.63127691       0.00165694
   382      0.63293379       0.00165688
   383      0.63459065       0.00165686
   384      0.63624759       0.00165694
   385      0.63790447       0.00165688
   386      0.63956133       0.00165686
   387      0.64121827       0.00165694
   388      0.64287515       0.00165689
   389      0.64453201       0.00165686
   390      0.64618894       0.00165693
   391      0.64784583       0.00165689
   392      0.64950269       0.00165686
   393      0.65115962       0.00165693
   394      0.65281651       0.00165689
   395      0.65447336       0.00165686
   396      0.65613029       0.00165693
   397      0.65778718       0.00165689
   398      0.65944404       0.00165686
   399      0.66110097       0.00165693
   400      0.66275786       0.00165689
   401      0.66441471       0.00165686
   402      0.66607164       0.00165692
   403      0.66772853       0.00165689
   404      0.66938539       0.00165686
   405      0.67104231       0.00165692
   406      0.67269921       0.00165690
   407      0.67435606       0.00165686
   408      0.67601298       0.00165692
   409      0.67766988       0.00165690
   410      0.67932673       0.00165685
   411      0.68098365       0.00165692
   412      0.68264055       0.00165690
   413      0.68429740       0.00165685
   414      0.68595432       0.00165692
   415      0.68761122       0.00165690
   416      0.68926808       0.00165685
   417      0.69092499       0.00165691
   418      0.69258189       0.00165690
   419      0.69423875       0.00165685
   420      0.69589566       0.00165691
   421      0.69755256       0.00165690
   422      0.69920942       0.00165685
   423      0.70086633       0.00165691
   424      0.70252323       0.00165691
   425      0.70418009       0.00165685
   426      0.70583700       0.00165691
   427      0.70749390       0.00165691
   428      0.70915076       0.00165685
   429      0.71080766       0.00165691
   430      0.71246457       0.00165691
   431      0.71412143       0.00165685
   432      0.71577833       0.00165690
   433      0.71743524       0.00165691
   434      0.71909210       0.00165685
   435      0.72074900       0.00165690
   436      0.72240591       0.00165691
   437      0.72406277       0.00165685
   438      0.72571967       0.00165690
   439      0.72737659       0.00165692
   440      0.72903344       0.00165685
   441      0.73069034       0.00165690
   442      0.73234726       0.00165692
   443      0.73400411       0.00165685
   444      0.73566101       0.00165690
   445      0.73731793       0.00165692
   446      0.73897478       0.00165686
   447      0.74063168       0.00165690
   448      0.74228860       0.00165692
   449      0.74394546       0.00165686
   450      0.74560235       0.00165689
   451      0.74725927       0.00165692
   452      0.74891613       0.00165686
   453      0.75057302       0.00165689
   454      0.75222995       0.00165693
   455      0.75388680       0.00165686
   456      0.75554370       0.00165689
   457      0.75720062       0.00165693
   458      0.75885748       0.00165686
   459      0.76051437       0.00165689
   460      0.76217130       0.00165693
   461      0.76382816       0.00165686
   462      0.76548504       0.00165689
   463      0.76714198       0.00165693
   464      0.76879883       0.00165686
   465      0.77045572       0.00165689
   466      0.77211265       0.00165693
   467      0.77376951       0.00165686
   468      0.77542640       0.00165689
   469      0.77708333       0.00165694
   470      0.77874019       0.00165686
   471      0.78039708       0.00165688
   472      0.78205401       0.00165694
   473      0.78371087       0.00165686
   474      0.78536776       0.00165688
   475      0.78702470       0.00165694
   476      0.78868156       0.00165686
   477      0.79033844       0.00165688
   478      0.79199538       0.00165694
   479      0.79365224       0.00165686
   480      0.79530912       0.00165688
   481      0.79696607       0.00165695
   482      0.79862293       0.00165686
   483      0.80027981       0.00165688
   484      0.80193675       0.00165695
   485      0.80359361       0.00165686
   486      0.80525049       0.00165688
   487      0.80690744       0.00165695
   488      0.80856430       0.00165686
   489      0.81022118       0.00165688
   490      0.81187813       0.00165695
   491      0.81353500       0.00165686
   492      0.81519187       0.00165687
   493      0.81684883       0.00165696
   494      0.81850569       0.00165686
   495      0.82016256       0.00165687
   496      0.82181952       0.00165696
   497      0.82347639       0.00165686
   498      0.82513326       0.00165687
   499      0.82679022       0.00165696
   500      0.82844709       0.00165686
   501      0.83010396       0.00165687
   502      0.83176092       0.00165696
   503      0.83341779       0.00165686
   504      0.83507466       0.00165687
   505      0.83673162       0.00165697
   506      0.83838849       0.00165687
   507      0.84004536       0.00165687
   508      0.84170233       0.00165697
   509      0.84335920       0.00165687
   510      0.84501607       0.00165687
   511      0.84667304       0.00165697
   512      0.84832991       0.00165687
   513      0.84998677       0.00165687
   514      0.85164375       0.00165697
   515      0.85330061       0.00165687
   516      0.85495748       0.00165687
   517      0.85661445       0.00165697
   518      0.85827132       0.00165687
   519      0.85992819       0.00165687
   520      0.86158515       0.00165697
   521      0.86324202       0.00165687
   522      0.86489889       0.00165687
   523      0.86655585       0.00165696
   524      0.86821273       0.00165687
   525      0.86986959       0.00165686
   526      0.87152655       0.00165696
   527      0.87318342       0.00165687
   528      0.87484029       0.00165686
   529      0.87649725       0.00165696
   530      0.87815412       0.00165687
   531      0.87981098       0.00165686
   532      0.88146794       0.00165696
   533      0.88312482       0.00165687
   534      0.88478168       0.00165686
   535      0.88643863       0.00165695
   536      0.88809551       0.00165688
   537      0.88975237       0.00165686
   538      0.89140932       0.00165695
   539      0.89306620       0.00165688
   540      0.89472306       0.00165686
   541      0.89638001       0.00165695
   542      0.89803689       0.00165688
   543      0.89969375       0.00165686
   544      0.90135069       0.00165695
   545      0.90300757       0.00165688
   546      0.90466443       0.00165686
   547      0.90632138       0.00165694
   548      0.90797826       0.00165688
   549      0.90963512       0.00165686
   550      0.91129206       0.00165694
   551      0.91294894       0.00165688
   552      0.91460580       0.00165686
   553      0.91626274       0.00165694
   554      0.91791962       0.00165688
   555      0.91957648       0.00165686
   556      0.92123342       0.00165694
   557      0.92289030       0.00165689
   558      0.92454716       0.00165686
   559      0.92620409       0.00165693
   560      0.92786098       0.00165689
   561      0.92951784       0.00165686
   562      0.93117477       0.00165693
   563      0.93283166       0.00165689
   564      0.93448852       0.00165686
   565      0.93614545       0.00165693
   566      0.93780234       0.00165689
   567      0.93945919       0.00165686
   568      0.94111612       0.00165693
   569      0.94277301       0.00165689
   570      0.94442987       0.00165686
   571      0.94608679       0.00165693
   572      0.94774369       0.00165689
   573      0.94940054       0.00165686
   574      0.95105746       0.00165692
   575      0.95271436       0.00165689
   576      0.95437121       0.00165686
   577      0.95602814       0.00165692
   578      0.95768503       0.00165690
   579      0.95934189       0.00165686
   580      0.96099881       0.00165692
   581      0.96265570       0.00165690
   582      0.96431256       0.00165685
   583      0.96596948       0.00165692
   584      0.96762638       0.00165690
   585      0.96928323       0.00165685
   586      0.97094015       0.00165692
   587      0.97259705       0.00165690
   588      0.97425390       0.00165685
   589      0.97591082       0.00165691
   590      0.97756772       0.00165690
   591      0.97922457       0.00165685
   592      0.98088148       0.00165691
   593      0.98253839       0.00165690
   594      0.98419524       0.00165685
   595      0.98585215       0.00165691
   596      0.98750906       0.00165691
   597      0.98916591       0.00165685
   598      0.99082282       0.00165691
   599      0.99247973       0.00165691
   600      0.99413658       0.00165685
   601      0.99579349       0.00165691
   602      0.99745040       0.00165691
   603      0.99910726       0.00165685
   604      1.00000000       0.00089274
 
  Final output no.           1 has been written
 =================================================
         The final tmax has reached, bye!         
 =================================================
 
