 
 =================================================
      AMS 260 - CFD, 1D Euler FVM Code            
       Written by Prof. Dongwook Lee              
            Winter Quarter, 2015                  
 =================================================
 
 
        Initial condition was written!            
 =================================================
    Steps      Time              dt               
   206      0.39137529       0.00185144
   207      0.39323575       0.00186046
   208      0.39510043       0.00186468
   209      0.39696574       0.00186531
   210      0.39883282       0.00186708
   211      0.40069823       0.00186541
   212      0.40256337       0.00186513
   213      0.40442905       0.00186568
   214      0.40629321       0.00186416
   215      0.40815720       0.00186399
   216      0.41002133       0.00186413
   217      0.41188624       0.00186491
   218      0.41375361       0.00186736
   219      0.41562516       0.00187156
   220      0.41749882       0.00187366
   221      0.41937530       0.00187648
   222      0.42125316       0.00187786
   223      0.42312875       0.00187559
   224      0.42500336       0.00187461
   225      0.42687707       0.00187371
   226      0.42875034       0.00187328
   227      0.43062442       0.00187408
   228      0.43250049       0.00187607
   229      0.43437725       0.00187676
   230      0.43625462       0.00187737
   231      0.43813340       0.00187878
   232      0.44001191       0.00187851
   233      0.44189087       0.00187896
   234      0.44376776       0.00187689
   235      0.44564595       0.00187819
   236      0.44752230       0.00187635
   237      0.44939918       0.00187688
   238      0.45127545       0.00187627
   239      0.45315160       0.00187615
   240      0.45502788       0.00187627
   241      0.45690346       0.00187558
   242      0.45877887       0.00187541
   243      0.46065309       0.00187423
   244      0.46252802       0.00187492
   245      0.46440114       0.00187312
   246      0.46627566       0.00187452
   247      0.46814860       0.00187294
   248      0.47002226       0.00187366
   249      0.47189530       0.00187304
   250      0.47376850       0.00187320
   251      0.47564059       0.00187209
   252      0.47751245       0.00187185
   253      0.47938245       0.00187000
   254      0.48125175       0.00186930
   255      0.48312047       0.00186872
   256      0.48498776       0.00186729
   257      0.48685673       0.00186896
   258      0.48872420       0.00186748
   259      0.49059252       0.00186832
   260      0.49246154       0.00186902
   261      0.49433076       0.00186921
   262      0.49620090       0.00187014
   263      0.49807079       0.00186989
   264      0.49994180       0.00187101
   265      0.50181204       0.00187025
   266      0.50368427       0.00187222
   267      0.50555517       0.00187090
   268      0.50742777       0.00187260
   269      0.50929925       0.00187148
   270      0.51117192       0.00187267
   271      0.51304372       0.00187180
   272      0.51491622       0.00187250
   273      0.51678815       0.00187193
   274      0.51866024       0.00187209
   275      0.52053271       0.00187248
   276      0.52240473       0.00187202
   277      0.52427819       0.00187346
   278      0.52615064       0.00187245
   279      0.52802440       0.00187376
   280      0.52989667       0.00187227
   281      0.53177039       0.00187373
   282      0.53364332       0.00187292
   283      0.53551696       0.00187364
   284      0.53739293       0.00187597
   285      0.53926881       0.00187588
   286      0.54114751       0.00187870
   287      0.54302739       0.00187988
